"","status","message","data.zip","data.cases","data.deaths","data.lat","data.long"
"355","ok","","88410",0,0,35.8770274,-103.2907831
"356","ok","","88411",0,0,35.1406565,-103.1506189
"357","ok","","88414",0,0,36.7769619,-103.9956885
"358","ok","","88415",3,0,36.3117605,-103.3268175
"359","ok","","88416",0,0,35.2857708,-104.194698
"360","ok","","88417",0,0,35.0592095,-104.376625
"361","ok","","88418",0,0,36.7258611,-103.6847386
"362","ok","","88419",0,0,36.9100527,-103.5310208
"363","ok","","88421",0,0,35.2983518,-104.4813432
"364","ok","","88422",0,0,36.3453069,-103.9915331
"365","ok","","88424",0,0,36.4125382,-103.6564377
"366","ok","","88426",0,0,35.5415492,-103.5094615
"367","ok","","88427",0,0,34.7705018,-103.774375
"368","ok","","88430",0,0,35.5815058,-103.1803667
"369","ok","","88431",0,0,35.1700555,-104.2748058
"370","ok","","88434",0,0,35.1747003,-103.3059796
"371","ok","","88435",14,0,34.9141504,-104.6957919
"372","ok","","88436",0,0,36.1372687,-103.123137
